time,valueA,valueB,valueC
1063,137,60,33
1064,9,50,16.66666666
1065,2,30,8
1066,15,50,23.66666666
1067,56,45,23.33333333
1068,6,30,8.5
1069,7,50,17
1070,24,50,25
1071,18,50,32
1072,70,50,26.33333333
1073,208,57.5,34.66666666
1074,22,43.33333333,36
1075,7,30,21
1076,98,60,33.33333333
1077,15,60,21
1078,47,43.33333333,31
1079,32,60,27.75
1080,10,33.33333333,9.666666666
1081,43,35,22
1082,90,60,28
1083,39,36.66666666,10.66666666
1084,83,50,35.33333333
1085,12,30,11
1086,72,53.33333333,26.75
1087,30,50,20.5
1088,25,30,10
1089,54,50,15.33333333
1090,39,50,34.33333333
1091,37,50,16.33333333
1092,159,60,42
1093,29,30,16.33333333
1094,38,47.5,18
1095,21,50,38
1096,1,30,9
1097,20,30,9.333333333
1098,21,60,16
1099,34,50,24.66666666
1100,64,60,27
1101,19,40,15.33333333
1102,106,60,32
1103,32,50,21
1104,142,60,32.5
1105,80,52.5,22.5
1106,28,40,30.5
1107,55,60,25.5
1108,46,52.5,19
1109,88,60,40.5
1110,57,60,37
1111,48,50,22.33333333
1112,5,52.5,12.33333333
1113,36,60,19.33333333
1114,120,60,39.5
1115,9,50,21.5
1116,19,52.5,20.5
1117,11,50,16
1118,9,50,18
1119,2,30,22.5
1120,13,50,27
1121,53,40,31
1122,20,60,16.33333333
1123,15,40,14.5
1124,28,66.66666666,39
1125,39,43.33333333,30
1126,13,63.33333333,39
1127,33,50,18.33333333
1128,10,40,21
1129,13,63.33333333,39
1130,3,40,10.66666666
1131,6,50,38
1132,54,55,37.5
1133,4,30,11
1134,15,50,37
1135,3,30,10.33333333
1136,1,50,11
1137,9,50,11
1138,26,50,22.1605
1139,26,50,30
1140,3,45,15
1141,29,50,31
1142,99,60,36.66666666
1143,0,50,11
1144,26,52.5,21
1145,25,60,17
1146,6,50,11
1147,37,43.33333333,37
1148,3,30,13
1149,6,60,18
1150,5,50,7
1151,17,60,12.5
1152,53,66.66666666,20.66666666
1153,17,50,13
1154,3,40,9
1155,4,30,9
1156,23,66.66666666,21
1157,18,50,14
1158,6,66.66666666,20.5
1159,16,50,9
1160,16,60,8.666666666
1161,41,60,12.5
1162,49,66.66666666,21
1163,2,50,5.666666666
1164,8,60,6.333333333
1165,16,50,15.5
1166,5,50,5.5
1167,3,40,7.666666666
1168,32,60,17.5
1169,42,66.66666666,25.5
1170,24,60,11
1171,16,50,16
1172,8,40,11.5
1173,20,66.66666666,21.5
1174,62,60,16.33333333
1175,19,40,12
1176,24,50,8.5
1177,51,56.66666666,34
1178,10,50,8.333333333
1179,15,60,15
1180,2,40,10
1181,13,30,9.5
1182,13,60,17
1183,100,66.66666666,12.6
